medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
2013003245,2013012978,VTS,1,,2013-01-01 06:50:00,2013-01-01 07:06:00,1,960,5.93,-73.98793,40.728283,-73.929962,40.765572
2013007350,2013011356,VTS,4,,2013-01-01 06:59:00,2013-01-01 07:33:00,5,2040,12.00,-74.002434,40.708958,-73.936386,40.830593
2013005312,2013011019,CMT,1,N,2013-01-01 07:09:18,2013-01-01 07:18:47,1,569,2.20,-73.962608,40.717133,-73.934204,40.702572
2013003276,2013011836,VTS,1,,2013-01-01 07:18:00,2013-01-01 07:20:00,3,120,.68,-73.962173,40.770435,-73.957664,40.773972
2013003420,2013012233,VTS,1,,2013-01-01 07:25:00,2013-01-01 07:35:00,1,600,4.25,-73.953857,40.770916,-73.979973,40.726856
2013003969,2013003966,CMT,1,N,2013-01-01 07:35:37,2013-01-01 07:41:17,2,340,1.00,-73.993011,40.749596,-74.003769,40.747612
2013008031,2013012617,VTS,1,,2013-01-01 07:39:00,2013-01-01 07:43:00,2,240,1.22,-73.984947,40.747932,-73.98465,40.735699
2013001857,2013014095,VTS,1,,2013-01-01 07:56:00,2013-01-01 08:13:00,1,1020,4.35,-73.970375,40.796349,-73.92131,40.828484
2013003638,2013011605,VTS,1,,2013-01-01 08:05:00,2013-01-01 08:22:00,4,1020,8.64,-73.981903,40.770329,-73.928169,40.865597
2013005634,2013011879,CMT,1,N,2013-01-01 08:10:27,2013-01-01 08:14:47,1,259,1.90,-73.992683,40.752281,-73.967903,40.762268
2013010684,2013010763,VTS,1,,2013-01-01 08:19:00,2013-01-01 08:26:00,1,420,2.43,-74.000504,40.732185,-73.979317,40.753181
2013010480,2013010503,CMT,1,N,2013-01-01 08:33:00,2013-01-01 08:42:37,1,576,4.30,-73.989784,40.720051,-73.934029,40.715576
2013003830,2013012369,CMT,1,N,2013-01-01 08:41:12,2013-01-01 08:42:07,1,54,.30,-73.948318,40.778488,-73.946365,40.782951
2013004771,2013013706,VTS,1,,2013-01-01 08:55:00,2013-01-01 09:14:00,1,1140,9.90,-73.975288,40.75779,-73.867271,40.770447
2013009911,2013010992,VTS,1,,2013-01-01 09:05:00,2013-01-01 09:19:00,1,840,2.52,-73.964935,40.769577,-73.988914,40.756813
2013004848,2013010915,VTS,1,,2013-01-01 09:11:00,2013-01-01 09:17:00,2,360,1.08,-73.994781,40.760174,-73.979965,40.754547
2013005551,2013014964,VTS,1,,2013-01-01 09:15:00,2013-01-01 09:21:00,1,360,1.01,-73.97908,40.744526,-73.977257,40.758308
2013002503,2013015122,VTS,1,,2013-01-01 09:28:00,2013-01-01 09:31:00,4,180,1.30,0,0,0,0
2013005742,2013013559,CMT,1,N,2013-01-01 09:36:02,2013-01-01 09:51:57,1,954,7.30,-73.947472,40.796097,-73.991119,40.723553
2013008862,2013011470,CMT,1,N,2013-01-01 09:46:02,2013-01-01 09:53:52,1,470,2.00,-73.990601,40.717152,-73.98983,40.738449
2013004661,2013015664,CMT,1,N,2013-01-01 09:47:07,2013-01-01 09:51:19,2,251,1.20,-73.986725,40.76815,-74.002762,40.760601
2013002473,2013013056,VTS,1,,2013-01-01 09:57:00,2013-01-01 09:59:00,2,120,.54,-73.972687,40.764973,-73.980927,40.767715
2013011177,2013015348,VTS,1,,2013-01-01 10:02:00,2013-01-01 10:15:00,1,780,4.45,-73.978333,40.761749,-74.010277,40.711956
2013001102,2013013999,VTS,1,,2013-01-01 10:11:00,2013-01-01 10:20:00,2,540,1.82,-73.98407,40.744301,-73.995392,40.759716
2013006065,2013015172,VTS,1,,2013-01-01 10:17:00,2013-01-01 10:22:00,4,300,1.58,-73.982315,40.772911,-74.001137,40.762672
2013007337,2013012172,VTS,1,,2013-01-01 10:24:00,2013-01-01 10:42:00,5,1080,9.01,-73.870819,40.773682,-73.945824,40.835114
2013006930,2013013308,VTS,1,,2013-01-01 10:29:00,2013-01-01 10:46:00,1,1020,5.23,-73.980583,40.753647,-74.014633,40.709721
2013002720,2013011365,CMT,1,N,2013-01-01 10:32:11,2013-01-01 10:37:08,1,296,.70,-73.99144,40.755077,-73.980576,40.75547
